Channel,Condition,BioReplicate,TechRepMixture,Fraction,Mixture,Run
126,control,1,1,1,1,
127N,tl1a_200nM,1,1,1,1,
127C,tl1a_200nM,2,1,1,1,
128N,tnfa_050_ng_ml,1,1,1,1,
128C,control,2,1,1,1,
129N,tl1a_020nM,1,1,1,1,
129C,control,3,1,1,1,
130N,tl1a_020nM,2,1,1,1,
130C,tl1a_000.2nM,1,1,1,1,
131N,tnfa_100_ng_ml,1,1,1,1,
131C,tl1a_000.2nM,2,1,1,1,
132N,tnfa_050_ng_ml,2,1,1,1,
132C,tnfa_100_ng_ml,2,1,1,1,
133N,tnfa_100_ng_ml,3,1,1,1,
133C,tl1a_000.2nM,3,1,1,1,
134N,tl1a_200nM,3,1,1,1,
134C,tl1a_020nM,3,1,1,1,
135N,tnfa_050_ng_ml,3,1,1,1,